Ticker;SimFinId;Date;Open;High;Low;Close;Adj. Close;Volume;Dividend;Shares Outstanding
A;45846;2025-03-17;121.10;123.50;120.78;122.49;122.49;2015080;;285102717
AA;367153;2025-03-17;33.68;35.12;33.67;34.79;34.79;5835699;;258884337
AAC;7962652;2023-11-06;10.77;10.79;10.77;10.79;10.79;599704;;98498541
AACI;11820349;2024-08-15;11.00;11.12;9.52;9.75;9.75;37879;;8072849
AACT;14122297;2025-03-17;11.15;11.18;11.15;11.17;11.17;706764;;62500000
AAGH;12444287;2025-03-17;0.00;0.00;0.00;0.00;0.00;0;;21188988326
AAIC;9076064;2023-12-14;4.84;4.84;4.84;4.84;4.84;0;;28468000
AAL;68568;2025-03-17;10.88;11.47;10.83;11.32;11.32;64241130;;657575582
AAM;18508049;2025-03-17;10.22;10.25;10.22;10.24;10.24;1817;;43974000
AAMC;847094;2024-09-16;1.33;1.34;1.21;1.25;1.25;18359;;2554512
AAME;450021;2025-03-17;1.40;1.52;1.40;1.46;1.46;8897;;20399758
AAN;441241;2024-10-03;10.08;10.10;10.08;10.09;10.09;2765717;;30712772
AAOI;671827;2025-03-17;22.29;23.70;20.85;20.98;20.98;6432373;;49651482
AAON;919501;2025-03-17;81.48;84.27;81.00;82.76;82.76;772439;;81597289
AAP;184955;2025-03-17;37.48;38.33;37.00;37.84;37.84;1793806;;59792946
AAPL;111052;2025-03-17;213.31;215.22;209.97;214.00;214.00;47864723;;15022073000
AAT;919944;2025-03-17;19.96;20.45;19.91;20.37;20.37;416652;;60901583
AATP;16787005;2025-03-17;1.02;1.04;1.02;1.02;1.02;36608;;3848759
AAWH;2265764;2025-03-17;0.32;0.37;0.31;0.36;0.36;111882;;204626879
AAWW;762204;2023-04-03;102.48;102.48;102.48;102.48;102.48;1;;28436000
AB;11794966;2025-03-17;37.10;37.85;37.10;37.61;37.61;1069424;;110530329
ABAX;36105;2018-08-01;83.00;83.00;83.00;83.00;83.00;0;;22871000
ABBV;61199;2025-03-17;212.22;215.50;209.52;214.47;214.47;4677271;;1765354859
ABCB;919504;2025-03-17;56.94;58.06;56.94;57.81;57.81;507571;;69068609
ABCD;358762;2018-12-18;14.48;14.48;14.48;14.48;14.48;0;;47300262
ABCL;1250893;2025-03-17;2.50;2.55;2.40;2.54;2.54;4105226;;297987669
ABEO;953884;2025-03-17;5.29;5.40;5.19;5.30;5.30;240895;;43471030
ABEV;18515889;2025-03-17;2.33;2.37;2.31;2.34;2.34;54372584;;15757657336
ABG;545489;2025-03-17;228.96;237.50;228.96;234.65;234.65;155368;;19645447
ABIO;953886;2024-08-30;2.35;2.47;2.22;2.40;2.40;289415;;14507143
ABM;199984;2025-03-17;46.42;48.29;46.30;47.69;47.69;450653;;62231437
ABMC;160965;2025-03-17;0.00;0.00;0.00;0.00;0.00;95;;48098476
ABMD;445587;2023-01-03;381.02;381.02;381.02;381.02;381.02;258;;45372000
ABML;11795344;2023-09-11;9.83;11.78;8.20;9.83;9.83;228892;;17808626
ABNB;1214552;2025-03-17;123.90;128.00;123.75;126.94;126.94;5249302;;635000000
ABOS;12444265;2025-03-17;1.31;1.33;1.24;1.28;1.28;146440;;60079778
ABR;638468;2025-03-17;12.40;12.47;12.18;12.23;12.23;2993554;;189505422
